name, filter_index;
bypass, 0;
eviBiquadCoeffLowpass, 1;
lowpass, 1;
eviBiquadCoeffHighpass, 2;
highpass, 2;
eviBiquadCoeffBandpass, 3;
bandpass, 3;
eviBiquadCoeffNotch, 4;
bandstop, 4;
notch, 4;
eviBiquadCoeffPeakNotch, 5;
peaknotch, 5;
peakeq, 5;
bell, 5;
eviBiquadCoeffLowshelfMSP, 6;
lowshelf, 6;
lowshelfmsp, 6;
eviBiquadCoeffLowshelfCookbook, 7;
lowshelfcookbook, 7;
eviBiquadCoeffHighshelfMSP, 8;
highshelf, 8;
highshelfmsp, 8;
eviBiquadCoeffHighshelfCookbook, 9;
highshelfcookbook, 9;
eviBiquadCoeffResonant, 10;
resonant, 10;
reson, 10;
eviBiquadCoeffBp, 11;
bp, 11;
eviBiquadCoeffAllpass, 12;
allpass, 12;
eviBiquadCoeffLowpassGain, 13;
gainlpass, 13;
eviBiquadCoeffHighpassGain, 14;
gainhpass, 14;
eviBiquadCoeffBandpassGain, 15;
gainbpass, 15;
eviBiquadCoeffNotchGain, 16;
gainbstop, 16;
gainnotch, 16;
eviBiquadCoeffResonantGain, 17;
gainresonant, 17;
gainreson, 17;
eviBiquadCoeffBpGain, 18;
gainbp, 18;
eviBiquadCoeffAllpassGain, 19;
gainapass, 19;
eviBiquadCoeffLowpassAnalog1, 20;
lowpassanalog1, 20;
eviBiquadCoeffLowpassAnalog2, 21;
lowpassanalog2, 21;
lowpassanalog, 21;
eviBiquadCoeffHighpassAnalog, 22;
highpassanalog, 22;
eviBiquadCoeffBandpassAnalog, 23;
bandpassanalog, 23;
eviBiquadCoeffBandpassGainAnalog, 24;
gainbandpassanalog, 24;
gainbpassanalog, 24;
eviBiquadCoeffNotchAnalog, 25;
notchanalog, 25;
eviBiquadCoeffPeakNotchAnalog1, 26;
peaknotchanalog1, 26;
peaknotchanalog, 26;
peakeqanalog, 26;
bellanalog, 26;
eviBiquadCoeffPeakNotchAnalog2, 27;
peaknotchanalog2, 27;
eviBiquadCoeffLowshelfAnalog1, 28;
lowshelfanalog1, 28;
lowshelfanalog, 28;
eviBiquadCoeffLowshelfAnalog2, 29;
lowshelfanalog2, 29;
butterlowshelf, 29;
butterworthlowshelf, 29;
eviBiquadCoeffHighshelfAnalog1, 30;
highshelfanalog1, 30;
highshelfanalog, 30;
eviBiquadCoeffHighshelfAnalog2, 31;
highshelfanalog2, 31;
butterhighshelf, 31;
butterworthhighshelf, 31;
eviBiquadCoeffResonantAnalog, 32;
resonantanalog, 32;
resonanalog, 32;
eviBiquadCoeffButterworthLowpass, 33;
butterlowpass, 33;
butterworthlowpass, 33;
eviBiquadCoeffButterworthHighpass, 34;
butterhighpass, 34;
butterworthhighpass, 34;
eviBiquadCoeffButterworthBandpass, 35;
butterbandpass, 35;
butterworthbandpass, 35;
eviBiquadCoeffButterworthBandreject, 36;
butterbandreject, 36;
butterbandstop, 36;
butternotch, 36;
butterworthbandreject, 36;
butterworthbandstop, 36;
butterworthnotch, 36;
eviBiquadCoeffButterworthLowpassGain, 37;
buttergainlpass, 37;
buttergainlowpass, 37;
eviBiquadCoeffButterworthHighpassGain, 38;
buttergainhpass, 38;
buttergainhighpass, 38;
eviBiquadCoeffButterworthBandpassGain, 39;
buttergainbpass, 39;
buttergainbandpass, 39;
eviBiquadCoeffButterworthBandrejectGain, 40;
buttergainbreject, 40;
buttergainbandreject, 40;
buttergainbstop, 40;
buttergainbandstop, 40;
buttergainnotch, 40;
